id_advertencia,anio_desde,anio_hasta,paises,base,conjunto_origen,variables,tipo,advertencia,consecuencia,accion_paquete,fuente
udb_region_general_pre2021,2014,2020,IT;DE;PL,P,D,DB040,recodificada,La región se difunde con un nivel de agregación mayor que el originalmente recogido.,pi03 conserva únicamente la región difundida.,El paquete utiliza DB040 sin intentar recuperar el detalle eliminado.,SILC Disclosure Control Rules - Cross-sectional data
udb_edad_general_pre2021,2014,2020,ES;IT;PL;PT,P,P,PB140,comparabilidad,El año de nacimiento está sujeto a codificación inferior para proteger edades elevadas.,pd01a pd01b y pd01c no conservan edades exactas por encima del umbral.,El paquete calcula las edades a partir del valor difundido.,SILC Disclosure Control Rules - Cross-sectional data
udb_educacion_general_pre2021,2014,2020,ES;IT;DE;PT,P,P,PE040,recodificada,El nivel educativo está agrupado o codificado en las categorías superiores.,pd03 no conserva todo el detalle educativo original.,El paquete recodifica PE040 en la clasificación armonizada pd03.,SILC Disclosure Control Rules - Cross-sectional data
udb_nacionalidad_general_pre2021,2014,2020,ES;IT;DE;PL;PT,P,P,PB210;PB220A,recodificada,El país de nacimiento y la ciudadanía se difunden en grupos amplios.,pd04 y pd05 distinguen únicamente las categorías difundidas.,El paquete construye pd04 y pd05 a partir de los grupos disponibles.,SILC Disclosure Control Rules - Cross-sectional data
udb_nace_general_pre2021,2014,2020,ES;IT;DE;PL;PT,P,P,PL111,recodificada,La rama de actividad se difunde agrupada.,pl20a y pl20c no conservan el código NACE original.,El paquete recodifica los grupos difundidos.,SILC Disclosure Control Rules - Cross-sectional data
perdida_pl111b_pre2021,2014,2020,ES;IT;DE;PL;PT,P,P,PL111B,no_disponible,La rama de actividad del último empleo no está disponible antes de 2021.,pl20b y las variantes que dependen del último empleo quedan ausentes.,El paquete crea PL111B y su flag con valores estructuralmente ausentes.,Methodological guidelines - operation corresponding to the survey year
udb_region_general_post2021,2021,2025,IT;DE;PL,P,D,DB040,recodificada,La región se difunde con un nivel de agregación mayor que el originalmente recogido.,pi03 conserva únicamente la región difundida.,El paquete utiliza DB040 sin intentar recuperar el detalle eliminado.,SILC Disclosure Control Rules - Cross-sectional data
udb_edad_general_post2021,2021,2025,ES;IT;PL;PT,P,P,PB140;RB080;RB081;RB082,comparabilidad,Los años de nacimiento y las edades están sujetos a codificación superior o inferior.,pd01a pd01b y pd01c no conservan edades exactas por encima del umbral.,El paquete calcula las edades a partir de los valores difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_educacion_general_post2021,2021,2025,ES;IT;DE;PT,P,P,PE041,recodificada,El nivel educativo está agrupado o codificado en las categorías superiores.,pd03 no conserva todo el detalle educativo original.,El paquete recodifica PE041 en la clasificación armonizada pd03.,SILC Disclosure Control Rules - Cross-sectional data
udb_nacionalidad_general_post2021,2021,2025,ES;DE;PL;PT,P,R,RB280;RB290,recodificada,El país de nacimiento y la ciudadanía se difunden en grupos amplios.,pd04 y pd05 distinguen únicamente LOC EU y OTH.,El paquete construye pd04 y pd05 a partir de los grupos difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_nace_general_post2021,2021,2025,ES;IT;DE;PL;PT,P,P,PL111A;PL111B,recodificada,La rama de actividad se difunde agrupada.,pl20a pl20b y pl20c no conservan el código NACE original.,El paquete recodifica los grupos difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_region_es,2014,2025,ES,P,D,DB040,recodificada,La región de España se difunde a nivel NUTS 2.,pi03 no conserva un nivel geográfico más detallado.,El paquete utiliza el código regional difundido.,SILC Disclosure Control Rules - Cross-sectional data
udb_educacion_it_pre2021,2014,2020,IT,P,P,PE040,recodificada,Italia agrupa categorías detalladas de educación.,pd03 no conserva las categorías agrupadas por el control de divulgación.,El paquete recodifica PE040 en pd03.,SILC Disclosure Control Rules - Cross-sectional data
udb_educacion_it_post2021,2021,2025,IT,P,P,PE041,recodificada,Italia agrupa categorías detalladas de educación.,pd03 no conserva las categorías agrupadas por el control de divulgación.,El paquete recodifica PE041 en pd03.,SILC Disclosure Control Rules - Cross-sectional data
udb_edad_it_post2021,2021,2025,IT,P,R,RB081;RB082,no_disponible,Italia no difunde las edades calculadas del conjunto R.,pd01a y pd01b dependen de aproximaciones o quedan ausentes si no pueden calcularse.,El paquete utiliza las restantes variables de edad disponibles.,SILC Disclosure Control Rules - Cross-sectional data
udb_nacionalidad_it_post2021,2021,2025,IT,P,R,RB280;RB290,no_disponible,Italia no difunde país de nacimiento ni ciudadanía en el conjunto R.,pd04 y pd05 quedan ausentes.,El paquete conserva valores ausentes.,SILC Disclosure Control Rules - Cross-sectional data
integracion_py120n_it,2014,2025,IT,P,P,PY120N,integrada_en_otra,Las prestaciones por enfermedad de Italia están integradas en otros componentes de ingreso.,py00 py20 y py25 deben evitar una doble contabilización.,El paquete reemplaza PY120N por cero cuando el flag confirma esta situación.,UDB Problems and Modifications - cross-sectional release
ruptura_ingresos_it_2015,2015,2015,IT,P,P,PY080N;PY100N;PY130N,comparabilidad,Italia revisó en 2015 la clasificación de pensiones privadas vejez e invalidez.,Las series py21 py22 py23 y otros agregados de ingreso tienen una ruptura temporal.,El paquete conserva los montos difundidos y sólo informa la ruptura.,C15 UDB Problems and Modifications
udb_identificadores_2014,2014,2014,ES;IT;PL;PT,P,P,PB030;RB030,problema_udb,La anonimización de la UDB 2014 puede producir identificadores personales redundantes.,La unión entre P y R puede no ser unívoca si se usa sólo el identificador personal.,El paquete no corrige los identificadores y advierte el riesgo.,C14 UDB Problems and Modifications
udb_hogares_de,2014,2025,DE,H,H,HX040,comparabilidad,Alemania suprime registros de hogares grandes por control de divulgación.,hd01 y los agregados de hogares representan una población ya recortada.,El paquete procesa únicamente los registros difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_mes_nacimiento_de,2014,2020,DE,P,P,PB130,no_disponible,Alemania no difunde el mes de nacimiento.,La edad reconstruida al momento de la entrevista pierde precisión.,El paquete calcula la edad con la información disponible.,SILC Disclosure Control Rules - Cross-sectional data
udb_edad_de_pre2021,2014,2020,DE,P,P,PB140,recodificada,Alemania agrupa o perturba el año de nacimiento.,Las edades derivadas no conservan el año exacto original.,El paquete calcula las edades a partir del año anonimizado.,SILC Disclosure Control Rules - Cross-sectional data
udb_edad_de_post2021,2021,2025,DE,P,R,PB140;RB080;RB081;RB082;PX020,no_disponible,Alemania agrupa los años de nacimiento y no difunde las edades calculadas.,pd01a pd01b y pd01c pierden precisión o quedan ausentes.,El paquete utiliza los valores que permanecen disponibles.,SILC Disclosure Control Rules - Cross-sectional data
udb_region_de_pre2021,2014,2020,DE,P,D,DB040,no_disponible,Alemania no difunde la región de residencia.,pi03 queda ausente.,El paquete conserva DB040 como ausente.,SILC Disclosure Control Rules - Cross-sectional data
udb_region_de_post2021,2021,2025,DE,P,D,DB040,comparabilidad,Alemania suprime adicionalmente la región para hogares de tamaño seis.,pi03 queda ausente para parte de los hogares.,El paquete utiliza DB040 tal como se difunde.,SILC Disclosure Control Rules - Cross-sectional data
udb_ocupacion_de_pre2021,2014,2020,DE,P,P,PL051,recodificada,Alemania agrupa la ocupación ISCO en grandes grupos.,Las clasificaciones ocupacionales y de clase pierden detalle.,El paquete calcula sus categorías desde los grupos difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_ingresos_de,2014,2025,DE,P,P,PY010N;PY050N;PY080N;PY090N;PY100N,comparabilidad,Alemania aplica codificación superior y en algunos casos inferior a componentes de ingreso.,Los agregados de ingreso se calculan sobre montos modificados por control de divulgación.,El paquete conserva y agrega los importes difundidos.,SILC Disclosure Control Rules - Cross-sectional data
udb_ingresos_hogar_de,2014,2025,DE,H,H,HY040N;HY090N,comparabilidad,Alemania aplica codificación superior a componentes de ingreso del hogar.,Los agregados hy00 y hy20 se calculan sobre montos modificados.,El paquete conserva y agrega los importes difundidos.,SILC Disclosure Control Rules - Cross-sectional data
py030g_de,2014,2019,DE,P,P,PY030G,no_disponible,Alemania no registró las contribuciones sociales del empleador.,pl40a pl40b y pl41 quedan ausentes y se limita la clasificación sectorial de ingresos.,El paquete conserva PY030G como ausente.,SILC Disclosure Control Rules - Cross-sectional data
educacion_pl,2016,2025,PL,P,P,PE041,comparabilidad,Polonia difunde PE041 con más detalle que la clasificación armonizada.,pd03 se limita a cinco categorías para mantener comparabilidad.,El paquete recodifica los niveles 500 o superiores en pd03 igual a 5.,SILC Disclosure Control Rules - Cross-sectional data
